"id";"gravity";"acceleration";"rotation";"attitude";"fallenDown";"date";"studentId"
1431;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:01";"studentOzkWhK"
1432;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:02";"studentwdfHtQ"
1433;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:02";"studentPea5L5"
1434;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:03";"studentKmSKrn"
1435;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:03";"studenti0oMxJ"
1436;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:04";"studentb5t2aj"
1437;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:04";"studentipRFVi"
1438;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:05";"studentjAKCZM"
1439;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:05";"studentuCtDMe"
1440;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:06";"studentxXELIU"
